"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
2019,1,"R","전통시장",1001443,"강남시장_동작","LH","상권확장",88,67,107,53
2019,2,"R","전통시장",1001443,"강남시장_동작","LH","상권확장",89,65,108,53
2019,3,"R","전통시장",1001443,"강남시장_동작","LH","상권확장",90,64,109,53
2019,4,"R","전통시장",1001443,"강남시장_동작","LH","상권확장",92,63,110,54
2020,1,"R","전통시장",1001443,"강남시장_동작","LH","상권확장",102,60,110,54
2020,2,"R","전통시장",1001443,"강남시장_동작","LH","상권확장",105,60,111,54
2020,3,"R","전통시장",1001443,"강남시장_동작","LH","상권확장",109,59,113,54
2019,1,"R","전통시장",1001450,"남성역골목시장","HL","상권축소",115,49,107,53
2019,2,"R","전통시장",1001450,"남성역골목시장","HL","상권축소",117,49,108,53
2019,3,"R","전통시장",1001450,"남성역골목시장","HL","상권축소",120,49,109,53
2019,4,"R","전통시장",1001450,"남성역골목시장","HL","상권축소",123,49,110,54
2020,1,"R","전통시장",1001450,"남성역골목시장","HL","상권축소",122,49,110,54
2020,2,"R","전통시장",1001450,"남성역골목시장","HL","상권축소",123,49,111,54
2020,3,"R","전통시장",1001450,"남성역골목시장","HL","상권축소",124,49,113,54
2019,1,"A","골목상권",1000747,"사당로16가길","LL","다이나믹",96,47,107,53
2019,2,"A","골목상권",1000747,"사당로16가길","LL","다이나믹",98,47,108,53
2019,3,"A","골목상권",1000747,"사당로16가길","LL","다이나믹",98,48,109,53
2019,4,"A","골목상권",1000747,"사당로16가길","LL","다이나믹",97,47,110,54
2020,1,"A","골목상권",1000747,"사당로16가길","LL","다이나믹",98,47,110,54
2020,2,"A","골목상권",1000747,"사당로16가길","LL","다이나믹",100,47,111,54
2020,3,"A","골목상권",1000747,"사당로16가길","LL","다이나믹",101,47,113,54
2019,1,"A","골목상권",1000750,"사당로23길","HH","정체",117,62,107,53
2019,2,"A","골목상권",1000750,"사당로23길","HH","정체",121,62,108,53
2019,3,"A","골목상권",1000750,"사당로23길","HH","정체",126,63,109,53
2019,4,"A","골목상권",1000750,"사당로23길","HH","정체",127,62,110,54
2020,1,"A","골목상권",1000750,"사당로23길","HH","정체",131,62,110,54
2020,2,"A","골목상권",1000750,"사당로23길","HH","정체",135,62,111,54
2020,3,"A","골목상권",1000750,"사당로23길","HH","정체",138,62,113,54
2019,1,"A","골목상권",1000751,"사당로23나길","LH","상권확장",105,59,107,53
2019,2,"A","골목상권",1000751,"사당로23나길","LH","상권확장",104,59,108,53
2019,3,"A","골목상권",1000751,"사당로23나길","LH","상권확장",102,59,109,53
2019,4,"A","골목상권",1000751,"사당로23나길","LH","상권확장",107,59,110,54
2020,1,"A","골목상권",1000751,"사당로23나길","LH","상권확장",108,58,110,54
2020,2,"A","골목상권",1000751,"사당로23나길","HH","정체",113,57,111,54
2020,3,"A","골목상권",1000751,"사당로23나길","HH","정체",122,57,113,54
2019,1,"A","골목상권",1000753,"사당로29길","HL","상권축소",124,49,107,53
2019,2,"A","골목상권",1000753,"사당로29길","HL","상권축소",125,50,108,53
2019,3,"A","골목상권",1000753,"사당로29길","HL","상권축소",127,50,109,53
2019,4,"A","골목상권",1000753,"사당로29길","HL","상권축소",130,49,110,54
2020,1,"A","골목상권",1000753,"사당로29길","HL","상권축소",131,50,110,54
2020,2,"A","골목상권",1000753,"사당로29길","HL","상권축소",130,51,111,54
2020,3,"A","골목상권",1000753,"사당로29길","HL","상권축소",128,52,113,54
2019,1,"A","골목상권",1000754,"사당로2차길","LL","다이나믹",104,50,107,53
2019,2,"A","골목상권",1000754,"사당로2차길","LL","다이나믹",105,50,108,53
2019,3,"A","골목상권",1000754,"사당로2차길","LL","다이나믹",107,50,109,53
2019,4,"A","골목상권",1000754,"사당로2차길","LL","다이나믹",106,50,110,54
2020,1,"A","골목상권",1000754,"사당로2차길","LL","다이나믹",108,50,110,54
2020,2,"A","골목상권",1000754,"사당로2차길","LL","다이나믹",108,50,111,54
2020,3,"A","골목상권",1000754,"사당로2차길","LL","다이나믹",105,51,113,54
2019,1,"A","골목상권",1000756,"사당로8길","HL","상권축소",110,52,107,53
2019,2,"A","골목상권",1000756,"사당로8길","HL","상권축소",111,52,108,53
2019,3,"A","골목상권",1000756,"사당로8길","HL","상권축소",113,52,109,53
2019,4,"A","골목상권",1000756,"사당로8길","HL","상권축소",116,52,110,54
2020,1,"A","골목상권",1000756,"사당로8길","HL","상권축소",116,52,110,54
2020,2,"A","골목상권",1000756,"사당로8길","HL","상권축소",118,52,111,54
2020,3,"A","골목상권",1000756,"사당로8길","HL","상권축소",121,52,113,54
2019,1,"A","골목상권",1000758,"상도로37길","HH","정체",130,56,107,53
2019,2,"A","골목상권",1000758,"상도로37길","HH","정체",132,56,108,53
2019,3,"A","골목상권",1000758,"상도로37길","HH","정체",134,57,109,53
2019,4,"A","골목상권",1000758,"상도로37길","HH","정체",136,58,110,54
2020,1,"A","골목상권",1000758,"상도로37길","HH","정체",133,59,110,54
2020,2,"A","골목상권",1000758,"상도로37길","HH","정체",135,60,111,54
2020,3,"A","골목상권",1000758,"상도로37길","HH","정체",136,60,113,54
2019,1,"A","골목상권",1000759,"상도로47길","LL","다이나믹",98,49,107,53
