"기준_년월_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","엑스좌표_값","와이좌표_값","시군구_코드","행정동_코드","형태정보"
201810,"R","전통시장",1001450,"남성역골목시장",197564,442672,11590,11590650,NA
201810,"A","골목상권",1000753,"사당로29길",198033,442917,11590,11590640,NA
201810,"A","골목상권",1000747,"사당로16가길",197390,442623,11590,11590650,NA
201810,"A","골목상권",1000750,"사당로23길",197581,443283,11590,11590640,NA
201810,"A","골목상권",1000751,"사당로23나길",197805,443066,11590,11590640,NA
201810,"A","골목상권",1000756,"사당로8길",197149,442606,11590,11590651,NA
201810,"A","골목상권",1000754,"사당로2차길",197055,443018,11590,11590651,NA
201810,"R","전통시장",1001448,"흑석시장",196759,445314,11590,11590605,NA
201810,"A","골목상권",1000762,"서달로10길",196733,444897,11590,11590605,NA
201810,"A","골목상권",1000763,"서달로14길",196881,445277,11590,11590605,NA
201810,"A","골목상권",1000764,"서달로15길",196677,445447,11590,11590605,NA
201810,"A","골목상권",1000765,"서달로8가길",196640,445137,11590,11590605,NA
201810,"A","골목상권",1000778,"흑석로13길",196448,445595,11590,11590605,NA
201810,"A","골목상권",1000779,"흑석로9길",196297,445389,11590,11590605,NA
201810,"R","전통시장",1001443,"강남시장_동작",195878,444164,11590,11590530,NA
201810,"R","전통시장",1001444,"상도전통시장",195766,444412,11590,11590530,NA
201810,"A","골목상권",1000760,"상도로61길",196199,443891,11590,11590530,NA
201810,"A","골목상권",1000761,"상도로62길",195809,444085,11590,11590530,NA
201810,"A","골목상권",1000759,"상도로47길",195721,444847,11590,11590530,NA
201810,"A","골목상권",1000758,"상도로37길",195657,444621,11590,11590530,NA
