"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권.코드","총.상주인구.수","남성.상주인구.수","여성.상주인구.수","연령대.10.상주인구.수","연령대.20.상주인구.수","연령대.30.상주인구.수","연령대.40.상주인구.수","연령대.50.상주인구.수","연령대.60.이상.상주인구.수","남성연령대.10.상주인구.수","남성연령대.20.상주인구.수","남성연령대.30.상주인구.수","남성연령대.40.상주인구.수","남성연령대.50.상주인구.수","남성연령대.60.이상.상주인구.수","여성연령대.10.상주인구.수","여성연령대.20.상주인구.수","여성연령대.30.상주인구.수","여성연령대.40.상주인구.수","여성연령대.50.상주인구.수","여성연령대.60.이상.상주인구.수","총.가구.수","아파트.가구.수","비.아파트.가구.수","상권.코드.명"
2019,1,"R","전통시장",1001443,120,46,74,7,25,22,17,9,40,4,7,9,7,2,17,3,18,13,10,7,23,70,70,0,"강남시장_동작"
2019,2,"R","전통시장",1001443,120,46,74,7,25,22,17,9,40,4,7,9,7,2,17,3,18,13,10,7,23,70,70,0,"강남시장_동작"
2019,3,"R","전통시장",1001443,120,46,74,7,25,22,17,9,40,4,7,9,7,2,17,3,18,13,10,7,23,70,70,0,"강남시장_동작"
2019,4,"R","전통시장",1001443,108,41,67,4,22,20,11,13,38,3,5,8,4,5,16,1,17,12,7,8,22,64,0,64,"강남시장_동작"
2020,1,"R","전통시장",1001443,108,41,67,4,22,20,11,13,38,3,5,8,4,5,16,1,17,12,7,8,22,64,0,64,"강남시장_동작"
2020,2,"R","전통시장",1001443,108,41,67,4,22,20,11,13,38,3,5,8,4,5,16,1,17,12,7,8,22,64,0,64,"강남시장_동작"
2020,3,"R","전통시장",1001443,108,41,67,4,22,20,11,13,38,3,5,8,4,5,16,1,17,12,7,8,22,64,0,64,"강남시장_동작"
2019,1,"R","전통시장",1001450,563,240,323,46,114,81,74,78,170,24,44,36,31,39,66,22,70,45,43,39,104,313,0,313,"남성역골목시장"
2019,2,"R","전통시장",1001450,563,240,323,46,114,81,74,78,170,24,44,36,31,39,66,22,70,45,43,39,104,313,0,313,"남성역골목시장"
2019,3,"R","전통시장",1001450,563,240,323,46,114,81,74,78,170,24,44,36,31,39,66,22,70,45,43,39,104,313,0,313,"남성역골목시장"
2019,4,"R","전통시장",1001450,536,239,297,35,107,79,66,81,168,18,42,41,27,42,69,17,65,38,39,39,99,301,0,301,"남성역골목시장"
2020,1,"R","전통시장",1001450,536,239,297,35,107,79,66,81,168,18,42,41,27,42,69,17,65,38,39,39,99,301,0,301,"남성역골목시장"
2020,2,"R","전통시장",1001450,536,239,297,35,107,79,66,81,168,18,42,41,27,42,69,17,65,38,39,39,99,301,0,301,"남성역골목시장"
2020,3,"R","전통시장",1001450,536,239,297,35,107,79,66,81,168,18,42,41,27,42,69,17,65,38,39,39,99,301,0,301,"남성역골목시장"
2019,1,"A","골목상권",1000747,2263,1079,1184,237,475,404,318,310,519,113,214,208,168,147,229,124,261,196,150,163,290,1140,0,1140,"사당로16가길"
2019,2,"A","골목상권",1000747,2263,1079,1184,237,475,404,318,310,519,113,214,208,168,147,229,124,261,196,150,163,290,1140,0,1140,"사당로16가길"
2019,3,"A","골목상권",1000747,2263,1079,1184,237,475,404,318,310,519,113,214,208,168,147,229,124,261,196,150,163,290,1140,0,1140,"사당로16가길"
2019,4,"A","골목상권",1000747,2221,1065,1156,221,457,394,316,302,531,113,211,193,173,141,234,108,246,201,143,161,297,1148,0,1148,"사당로16가길"
2020,1,"A","골목상권",1000747,2221,1065,1156,221,457,394,316,302,531,113,211,193,173,141,234,108,246,201,143,161,297,1148,0,1148,"사당로16가길"
2020,2,"A","골목상권",1000747,2221,1065,1156,221,457,394,316,302,531,113,211,193,173,141,234,108,246,201,143,161,297,1148,0,1148,"사당로16가길"
2020,3,"A","골목상권",1000747,2221,1065,1156,221,457,394,316,302,531,113,211,193,173,141,234,108,246,201,143,161,297,1148,0,1148,"사당로16가길"
2019,1,"A","골목상권",1000750,1509,721,788,307,178,281,242,224,277,162,74,126,125,107,127,145,104,155,117,117,150,512,503,9,"사당로23길"
2019,2,"A","골목상권",1000750,1509,721,788,307,178,281,242,224,277,162,74,126,125,107,127,145,104,155,117,117,150,512,503,9,"사당로23길"
2019,3,"A","골목상권",1000750,1509,721,788,307,178,281,242,224,277,162,74,126,125,107,127,145,104,155,117,117,150,512,503,9,"사당로23길"
2019,4,"A","골목상권",1000750,3524,1691,1833,783,382,757,609,444,549,389,179,332,333,206,252,394,203,425,276,238,297,1191,0,1191,"사당로23길"
2020,1,"A","골목상권",1000750,3524,1691,1833,783,382,757,609,444,549,389,179,332,333,206,252,394,203,425,276,238,297,1191,0,1191,"사당로23길"
2020,2,"A","골목상권",1000750,3524,1691,1833,783,382,757,609,444,549,389,179,332,333,206,252,394,203,425,276,238,297,1191,0,1191,"사당로23길"
2020,3,"A","골목상권",1000750,3524,1691,1833,783,382,757,609,444,549,389,179,332,333,206,252,394,203,425,276,238,297,1191,0,1191,"사당로23길"
2019,1,"A","골목상권",1000751,1000,497,503,113,143,145,157,165,277,59,72,82,86,78,120,54,71,63,71,87,157,476,0,476,"사당로23나길"
2019,2,"A","골목상권",1000751,1000,497,503,113,143,145,157,165,277,59,72,82,86,78,120,54,71,63,71,87,157,476,0,476,"사당로23나길"
2019,3,"A","골목상권",1000751,1000,497,503,113,143,145,157,165,277,59,72,82,86,78,120,54,71,63,71,87,157,476,0,476,"사당로23나길"
2019,4,"A","골목상권",1000751,745,379,366,87,99,114,111,138,196,46,41,71,62,69,90,41,58,43,49,69,106,363,0,363,"사당로23나길"
2020,1,"A","골목상권",1000751,745,379,366,87,99,114,111,138,196,46,41,71,62,69,90,41,58,43,49,69,106,363,0,363,"사당로23나길"
2020,2,"A","골목상권",1000751,745,379,366,87,99,114,111,138,196,46,41,71,62,69,90,41,58,43,49,69,106,363,0,363,"사당로23나길"
2020,3,"A","골목상권",1000751,745,379,366,87,99,114,111,138,196,46,41,71,62,69,90,41,58,43,49,69,106,363,0,363,"사당로23나길"
2019,1,"A","골목상권",1000753,2570,1227,1343,239,508,453,350,441,579,115,255,223,173,218,243,124,253,230,177,223,336,1363,0,1363,"사당로29길"
2019,2,"A","골목상권",1000753,2570,1227,1343,239,508,453,350,441,579,115,255,223,173,218,243,124,253,230,177,223,336,1363,0,1363,"사당로29길"
2019,3,"A","골목상권",1000753,2570,1227,1343,239,508,453,350,441,579,115,255,223,173,218,243,124,253,230,177,223,336,1363,0,1363,"사당로29길"
2019,4,"A","골목상권",1000753,2291,1090,1201,188,475,421,303,365,539,89,221,205,159,180,236,99,254,216,144,185,303,1284,0,1284,"사당로29길"
2020,1,"A","골목상권",1000753,2291,1090,1201,188,475,421,303,365,539,89,221,205,159,180,236,99,254,216,144,185,303,1284,0,1284,"사당로29길"
2020,2,"A","골목상권",1000753,2291,1090,1201,188,475,421,303,365,539,89,221,205,159,180,236,99,254,216,144,185,303,1284,0,1284,"사당로29길"
2020,3,"A","골목상권",1000753,2291,1090,1201,188,475,421,303,365,539,89,221,205,159,180,236,99,254,216,144,185,303,1284,0,1284,"사당로29길"
2019,1,"A","골목상권",1000754,3211,1554,1657,471,505,553,518,465,699,261,232,276,254,213,318,210,273,277,264,252,381,1531,230,1301,"사당로2차길"
2019,2,"A","골목상권",1000754,3211,1554,1657,471,505,553,518,465,699,261,232,276,254,213,318,210,273,277,264,252,381,1531,230,1301,"사당로2차길"
2019,3,"A","골목상권",1000754,3211,1554,1657,471,505,553,518,465,699,261,232,276,254,213,318,210,273,277,264,252,381,1531,230,1301,"사당로2차길"
2019,4,"A","골목상권",1000754,2640,1269,1371,378,406,461,444,341,610,209,182,225,224,158,271,169,224,236,220,183,339,1348,0,1348,"사당로2차길"
2020,1,"A","골목상권",1000754,2640,1269,1371,378,406,461,444,341,610,209,182,225,224,158,271,169,224,236,220,183,339,1348,0,1348,"사당로2차길"
2020,2,"A","골목상권",1000754,2640,1269,1371,378,406,461,444,341,610,209,182,225,224,158,271,169,224,236,220,183,339,1348,0,1348,"사당로2차길"
