"기준_년월_코드","기준_분기_코드","기준_분기_코드.1","상권_구분_코드_명","상권_코드","상권_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
2019,1,"R","전통시장",1001443,"강남시장_동작",20,9,11,1,2,5,5,2,5,0,0,2,4,0,3,1,2,3,1,2,2
2019,2,"R","전통시장",1001443,"강남시장_동작",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,3,"R","전통시장",1001443,"강남시장_동작",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,1,"R","전통시장",1001450,"남성역골목시장",261,109,152,0,53,71,72,37,28,0,12,31,29,20,17,0,41,40,43,17,11
2019,2,"R","전통시장",1001450,"남성역골목시장",490,271,219,0,27,21,38,46,358,0,5,8,17,17,224,0,22,13,21,29,134
2019,3,"R","전통시장",1001450,"남성역골목시장",490,271,219,0,27,21,38,46,358,0,5,8,17,17,224,0,22,13,21,29,134
2019,4,"R","전통시장",1001450,"남성역골목시장",467,268,199,1,36,33,39,47,311,1,12,20,22,16,197,0,24,13,17,31,114
2020,1,"R","전통시장",1001450,"남성역골목시장",467,268,199,1,36,33,39,47,311,1,12,20,22,16,197,0,24,13,17,31,114
2020,2,"R","전통시장",1001450,"남성역골목시장",467,268,199,1,36,33,39,47,311,1,12,20,22,16,197,0,24,13,17,31,114
2020,3,"R","전통시장",1001450,"남성역골목시장",467,268,199,1,36,33,39,47,311,1,12,20,22,16,197,0,24,13,17,31,114
2019,1,"A","골목상권",1000747,"사당로16가길",169,73,96,1,14,41,43,43,27,0,4,17,17,17,18,1,10,24,26,26,9
2019,2,"A","골목상권",1000747,"사당로16가길",231,142,89,1,33,73,55,34,35,0,15,41,36,22,28,1,18,32,19,12,7
2019,3,"A","골목상권",1000747,"사당로16가길",231,142,89,1,33,73,55,34,35,0,15,41,36,22,28,1,18,32,19,12,7
2019,4,"A","골목상권",1000747,"사당로16가길",237,147,90,1,39,74,56,36,31,0,19,41,34,26,27,1,20,33,22,10,4
2020,1,"A","골목상권",1000747,"사당로16가길",237,147,90,1,39,74,56,36,31,0,19,41,34,26,27,1,20,33,22,10,4
2020,2,"A","골목상권",1000747,"사당로16가길",237,147,90,1,39,74,56,36,31,0,19,41,34,26,27,1,20,33,22,10,4
2020,3,"A","골목상권",1000747,"사당로16가길",237,147,90,1,39,74,56,36,31,0,19,41,34,26,27,1,20,33,22,10,4
2019,1,"A","골목상권",1000750,"사당로23길",72,18,54,0,3,15,16,18,20,0,1,5,3,4,5,0,2,10,13,14,15
2019,2,"A","골목상권",1000750,"사당로23길",7,6,1,0,0,1,2,3,1,0,0,1,1,3,1,0,0,0,1,0,0
2019,3,"A","골목상권",1000750,"사당로23길",7,6,1,0,0,1,2,3,1,0,0,1,1,3,1,0,0,0,1,0,0
2019,1,"A","골목상권",1000751,"사당로23나길",133,108,25,1,6,24,39,48,15,1,5,17,30,42,13,0,1,7,9,6,2
2019,2,"A","골목상권",1000751,"사당로23나길",32,20,12,0,3,6,9,11,3,0,2,4,6,5,3,0,1,2,3,6,0
2019,3,"A","골목상권",1000751,"사당로23나길",32,20,12,0,3,6,9,11,3,0,2,4,6,5,3,0,1,2,3,6,0
2019,4,"A","골목상권",1000751,"사당로23나길",36,21,15,0,3,7,11,12,3,0,3,4,6,5,3,0,0,3,5,7,0
2020,1,"A","골목상권",1000751,"사당로23나길",36,21,15,0,3,7,11,12,3,0,3,4,6,5,3,0,0,3,5,7,0
2020,2,"A","골목상권",1000751,"사당로23나길",36,21,15,0,3,7,11,12,3,0,3,4,6,5,3,0,0,3,5,7,0
2020,3,"A","골목상권",1000751,"사당로23나길",36,21,15,0,3,7,11,12,3,0,3,4,6,5,3,0,0,3,5,7,0
2019,1,"A","골목상권",1000753,"사당로29길",181,112,69,0,6,32,53,37,53,0,4,19,31,20,38,0,2,13,22,17,15
2019,2,"A","골목상권",1000753,"사당로29길",134,76,58,0,19,39,29,24,23,0,6,25,16,11,18,0,13,14,13,13,5
2019,3,"A","골목상권",1000753,"사당로29길",134,76,58,0,19,39,29,24,23,0,6,25,16,11,18,0,13,14,13,13,5
2019,4,"A","골목상권",1000753,"사당로29길",128,78,50,0,27,34,27,19,21,0,7,21,17,14,19,0,20,13,10,5,2
2020,1,"A","골목상권",1000753,"사당로29길",128,78,50,0,27,34,27,19,21,0,7,21,17,14,19,0,20,13,10,5,2
2020,2,"A","골목상권",1000753,"사당로29길",128,78,50,0,27,34,27,19,21,0,7,21,17,14,19,0,20,13,10,5,2
2020,3,"A","골목상권",1000753,"사당로29길",128,78,50,0,27,34,27,19,21,0,7,21,17,14,19,0,20,13,10,5,2
2019,1,"A","골목상권",1000754,"사당로2차길",343,236,107,2,60,75,82,77,47,2,37,42,54,60,41,0,23,33,28,17,6
2019,2,"A","골목상권",1000754,"사당로2차길",728,535,193,0,81,179,140,148,180,0,52,133,104,107,139,0,29,46,36,41,41
2019,3,"A","골목상권",1000754,"사당로2차길",728,535,193,0,81,179,140,148,180,0,52,133,104,107,139,0,29,46,36,41,41
2019,4,"A","골목상권",1000754,"사당로2차길",324,216,108,1,33,57,86,97,50,0,21,30,53,69,43,1,12,27,33,28,7
2020,1,"A","골목상권",1000754,"사당로2차길",324,216,108,1,33,57,86,97,50,0,21,30,53,69,43,1,12,27,33,28,7
2020,2,"A","골목상권",1000754,"사당로2차길",324,216,108,1,33,57,86,97,50,0,21,30,53,69,43,1,12,27,33,28,7
2020,3,"A","골목상권",1000754,"사당로2차길",324,216,108,1,33,57,86,97,50,0,21,30,53,69,43,1,12,27,33,28,7
2019,1,"A","골목상권",1000756,"사당로8길",163,83,80,0,26,49,45,35,8,0,7,23,28,20,5,0,19,26,17,15,3
2019,2,"A","골목상권",1000756,"사당로8길",127,62,65,0,18,27,36,31,15,0,2,9,22,18,11,0,16,18,14,13,4
2019,3,"A","골목상권",1000756,"사당로8길",127,62,65,0,18,27,36,31,15,0,2,9,22,18,11,0,16,18,14,13,4
2019,4,"A","골목상권",1000756,"사당로8길",131,70,61,0,16,19,41,37,18,0,2,9,24,22,13,0,14,10,17,15,5
2020,1,"A","골목상권",1000756,"사당로8길",131,70,61,0,16,19,41,37,18,0,2,9,24,22,13,0,14,10,17,15,5
2020,2,"A","골목상권",1000756,"사당로8길",131,70,61,0,16,19,41,37,18,0,2,9,24,22,13,0,14,10,17,15,5
2020,3,"A","골목상권",1000756,"사당로8길",131,70,61,0,16,19,41,37,18,0,2,9,24,22,13,0,14,10,17,15,5
2019,1,"A","골목상권",1000758,"상도로37길",199,88,111,0,24,47,54,41,33,0,14,24,25,14,11,0,10,23,29,27,22
2019,2,"A","골목상권",1000758,"상도로37길",59,26,33,0,2,13,19,16,9,0,2,4,9,6,5,0,0,9,10,10,4
2019,3,"A","골목상권",1000758,"상도로37길",59,26,33,0,2,13,19,16,9,0,2,4,9,6,5,0,0,9,10,10,4
2019,4,"A","골목상권",1000758,"상도로37길",128,65,63,0,36,22,32,28,10,0,13,11,20,14,7,0,23,11,12,14,3
