"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_비율","주말_매출_비율","월요일_매출_비율","화요일_매출_비율","수요일_매출_비율","목요일_매출_비율","금요일_매출_비율","토요일_매출_비율","일요일_매출_비율","시간대_00.06_매출_비율","시간대_06.11_매출_비율","시간대_11.14_매출_비율","시간대_14.17_매출_비율","시간대_17.21_매출_비율","시간대_21.24_매출_비율","남성_매출_비율","여성_매출_비율","연령대_10_매출_비율","연령대_20_매출_비율","연령대_30_매출_비율","연령대_40_매출_비율","연령대_50_매출_비율","연령대_60_이상_매출_비율","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00.06_매출_금액","시간대_06.11_매출_금액","시간대_11.14_매출_금액","시간대_14.17_매출_금액","시간대_17.21_매출_금액","시간대_21.24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수.06_매출_건수","시간대_건수.11_매출_건수","시간대_건수.14_매출_건수","시간대_건수.17_매출_건수","시간대_건수.21_매출_건수","시간대_건수.24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수","점포수"
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",207703845,2720,77,23,10,12,15,17,23,23,1,0,0,0,2,61,37,57,43,0,25,32,23,15,5,159680188,48023657,17525874,24200938,29434677,37913951,50604748,46505668,1517989,0,0,0,3444864,127352642,76906339,108241816,78348180,245332,39933444,61922558,46732458,28213094,9543111,2095,625,260,323,403,470,639,605,20,0,0,0,56,1651,1013,1457,1078,5,642,810,587,376,115,3
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",201954397,2725,77,23,13,13,15,17,20,23,0,0,0,0,2,62,36,58,42,1,25,34,23,13,4,156115215,45839182,24977821,27635580,30380227,32621433,40500154,45839182,0,0,0,0,3593085,125047549,73313763,106011352,70551228,1490390,37724841,62666884,44665680,22251063,7763723,2113,612,364,352,420,450,527,612,0,0,0,0,56,1698,971,1441,1063,25,623,844,578,327,106,4
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",337861189,4478,71,29,8,15,14,15,20,22,7,0,0,5,8,61,26,57,43,1,23,26,24,20,6,238037306,99823883,24017450,48778307,39899092,54719163,70623294,75505390,24318493,265776,0,10135261,21473924,221491989,84494239,165265571,113771240,1635543,57847653,71381266,69823411,58758956,19589982,3194,1284,343,640,623,674,914,982,302,10,0,225,332,2751,1160,2249,1723,30,910,1038,971,783,240,3
2020,1,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",253853270,3491,73,27,8,15,16,17,18,18,9,0,0,8,6,58,27,60,40,0,22,27,26,17,8,181469721,72383549,20871072,36065275,38356570,42062609,44114195,50741726,21641823,0,0,13455415,10568169,159436391,70393295,133013158,78523481,649107,41125749,56896481,56403262,42514940,13947100,2541,950,271,522,551,573,624,638,312,0,0,296,204,2040,951,1844,1216,10,674,822,803,516,236,3
2020,2,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",327017278,4196,72,28,6,15,17,13,21,21,7,0,0,10,5,59,26,63,37,0,23,29,23,17,8,244506647,82510631,18159647,52766222,50667615,48192321,74720842,63036926,19473705,0,0,19778836,12347844,212643187,82247411,174200240,86390447,470218,51174122,74781153,63312924,50409505,20442765,3011,1185,251,650,689,547,874,899,286,0,0,409,205,2498,1084,2341,1355,10,839,1063,833,644,307,3
2020,3,"R","전통시장",1001443,"강남시장_동작","CS100001","한식음식점",273984259,3634,74,26,12,15,16,13,19,20,6,0,0,10,5,60,24,60,40,2,27,27,20,17,8,205754481,68229778,36439405,41332237,38648411,33456071,55878357,51955606,16274172,0,0,19011152,9436577,168318928,77217602,134414103,75723636,1893653,50931857,54949673,45368453,36884070,20110034,2693,941,435,536,573,455,694,711,230,0,0,363,189,2183,899,1856,1236,50,828,844,608,516,245,3
2019,1,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",52766842,4079,66,34,10,11,15,15,16,16,18,0,0,18,16,53,12,56,44,5,50,9,17,14,5,34409938,18356904,5117057,5692786,6928332,8363115,8308648,8790255,9566649,0,688008,10268036,8335404,27439082,6036312,29766387,23000455,2384399,25063321,4750301,9947555,8139937,2481329,2688,1391,410,445,597,593,643,650,741,0,10,741,665,2161,502,2287,1792,188,2065,351,681,578,216,1
2019,2,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",61874821,4658,67,33,11,15,14,14,14,17,17,0,0,19,18,52,11,57,43,5,48,10,17,14,6,41005493,20869328,6909699,8830148,7744385,8153847,9367414,9872911,10996417,0,420449,12751314,10591018,31854993,6257047,35354435,23737298,2804178,27414318,6121320,10373643,8724671,3653605,3119,1539,511,678,631,631,668,764,775,0,10,869,836,2418,525,2612,1940,213,2201,477,768,639,255,1
2019,3,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",58994744,4348,68,32,14,14,15,10,14,15,17,0,0,19,16,54,11,61,39,6,47,13,15,14,5,38563306,20431438,9205924,8456760,7494506,5565695,7840421,9346393,11085045,0,1605351,11213569,9873388,30903487,5398949,33160535,21228858,3119446,24769708,6975633,9664119,7178691,2681797,2953,1395,626,631,636,454,606,654,741,0,15,797,693,2365,478,2557,1615,238,1959,554,616,582,219,1
2019,4,"R","전통시장",1001443,"강남시장_동작","CS100006","패스트푸드점",64022934,4854,67,33,14,14,14,11,14,16,17,0,0,15,15,56,13,64,36,6,51,10,16,14,3,42683709,21339225,8522217,8996657,8528428,7209269,9427138,10754898,10584327,0,492117,11161490,10099379,35242714,7027234,41981971,22040963,4314675,31033193,6003142,11738312,8762551,2171061,3263,1591,684,653,679,549,698,783,808,0,15,750,746,2736,607,3111,1743,309,2476,508,756,668,137,1
